ref_id;ref_text;ssoar_id;match_id
1;"Adams, K. B., & Sanders, S. (2004). Caregiver differences in experience of loss, grief reactions and depressive symptoms across the stages of Alzheimer""s disease: A mixed methods analy- sis. Dementia: The International Journal of Social Research and Practice, 3 (2), 193-208.
";csa-assia-200612005;not_match
2;"Amirkhanyan, A. A., & Wolf, D. A. (2003). Caregiver stress and noncaregiver stress: Exploring the pathways of psychiatric morbidity. The Gerontologist, 43, 817-827.
";csa-assia-200612005;not_match
3;"Antonucci, T. C. (1991). Attachment, social support, and coping with negative life events in mature adulthood. In E. M. Cummings, A. L. Greene, & K. H. Karraker (Eds.), Life-span developmental psychology: Perspectives on stress and coping (pp. 261-276). Hillsdale, NJ: Lawrence Erlbaum.
";csa-assia-200612005;not_match
4;"Arean, P. A., & Miranda, J. (1997). The utility of the Center for Epidemiological Studies- Depression Scale in older primary care patients. Aging and Mental Health, 1, 47-56.
";csa-assia-200612005;not_match
5;"Badger, T. A. (2001). Depression, psychological resources, and health-related quality of life in older adults 75 and above. Journal of Clinical Geropsychology, 7 (3), 189-200.
";csa-assia-200612005;not_match
6;"Ben-Zur, H. (2002). Coping, affect and aging: The roles of mastery and self-esteem. Personality and Individual Differences, 32, 357-372.
";csa-assia-200612005;not_match
7;"Bookwala, J., Yee, J. L., & Schulz, R. (2000). Caregiving and detrimental mental and physical health outcomes. In G. M. Williamson, D. R. Shaffer, & P. A. Parmelee (Eds.), Physical ill- Adams etal. / Psychosocial Resources
";csa-assia-200612005;not_match
8;"ness and depression in older adults: A handbook of theory, research and practice (pp. 93- 131). New York: Kluwer Academic.
";csa-assia-200612005;not_match
9;"Bowling, A. (1994). Social networks and social support among older people and implications for emotional well-being and psychiatric morbidity. International Review of Psychiatry, 6, 41-58.
";csa-assia-200612005;not_match
10;"Chambers, M., Ryan, A. A., & Connor, S. L. (2001). Exploring the emotional support needs and coping strategies of family carers. Journal of Psychiatric and Mental Health Nursing, 8 (2), 99-106.
";csa-assia-200612005;not_match